id,source,target,type,label,date,outcome,presetTags,title
e595,EXP_023,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e596,EXP_024,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e597,EXP_025,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e598,EXP_026,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e599,EXP_027,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e600,EXP_028,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e601,EXP_029,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e602,EXP_030,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e603,EXP_031,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e604,EXP_034,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e605,EXP_035,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e606,EXP_036,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e607,EXP_037,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e608,EXP_038,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e609,EXP_040,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e610,EXP_052,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e611,EXP_054,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e612,EXP_055,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e613,EXP_056,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e614,EXP_057,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e615,EXP_060,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e616,EXP_060A,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e617,EXP_060B,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e618,EXP_060C,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
